Shipment_ID,Order_ID,Customer_ID,Customer_Name,Email,Phone,City,Country,Region,Postal_Code,Product_ID,Product_Name,Category,Weight_kg,Quantity,Unit_Price,Total_Price,Shipment_Date,Delivery_Date,Delay_Days,Status,Delivery_Mode,Vehicle_ID,Driver_Name,Transport_Type,Route_ID,Fuel_Cost,Distance_km,Delivery_Center,Warehouse_Name,Manager_Name,Order_Priority,Payment_Mode,Insurance,Return_Status,Remarks,Revenue,Delivery_Duration,Fuel_Efficiency,Profit,Delay_Flag,Urgency_Level,Payment_Mode_Encoded,Order_Priority_Encoded
S911042,O25996,C5941,Jane Smith,Amit@Gmail.Com,9.2E+11,Mumbai,Uk,South,600001,P8416,Tablet,Food,1.049450654,11,4217.694349,103142.1669,12-10-2021,21-03-2025,5,In Transit,Rail,V322,Mrs. Patel,Van,R148,9983.976999,523.8880632,Warehouse B,Unknown,Mr. Khan,High,Card,No,Pending,Delayed Delivery,46394.63784,1256 days,0.052472884,93158.1899,Yes,Urgent,0,3
S422854,O12435,C2025,Amit Kumar,,9.17E+11,Delhi,Unknown,South,600001,P5859,Charger,Food,7.917789046,8,3232.275874,90097.7648,05-01-2024,30-05-2025,13,Delayed,Road,V766,Ms. Sharma,Bike,R633,8138.839,1314.811892,Unknown,Unknown,Unknown,High,Cash,Yes,Unknown,Check Packaging,25858.20699,511 days,0.161547844,81958.9258,Yes,Urgent,1,3
S585883,O51753,C3592,Jane Smith,,9.19E+11,Delhi,Usa,West,0,P5017,Laptop,Unknown,3.921657851,20.8516131,2700.135729,56302.18553,12-08-2021,25-05-2020,2,Delivered,Rail,V752,Unknown,Cargo,R594,8231.461695,465.7087814,Warehouse B,Central,Mr. Khan,Unknown,Debit,Unknown,Returned,No Remarks,56302.18553,-444 days,0.056576681,48070.72384,Yes,Na,3,2
S121496,O83063,C3634,Fatima Noor,Amit@Gmail.Com,9.19E+11,Bangalore,India,West,560001,P4164,Laptop,Clothing,46.00756657,12,2860.801794,3103.03258,13-01-2025,21-07-2023,12,Unknown,Road,V791,Mrs. Patel,Truck,R290,8481.274237,168.3664584,Warehouse B,North Hub,Ms. Verma,Medium,Upi,Unknown,Unknown,Check Packaging,34329.62153,-542 days,0.019851552,-5378.241657,Yes,Not Urgent,5,4
S459370,O74774,C3689,Fatima Noor,,9.18E+11,Bangalore,India,East,400001,P7888,Laptop,Electronics,51.66632662,10,1470.172567,78649.6933,10-01-2023,13-09-2021,3,In Transit,Road,V742,Mr. Rao,Bike,R411,7561.095208,1463.66029,Warehouse A,Unknown,Mr. Khan,Medium,Credit,Unknown,Not Returned,No Remarks,14701.72567,-484 days,0.193577815,71088.59809,Yes,Not Urgent,2,4
S780595,O74141,C8146,Jane Smith,John@Example.Com,9.16E+11,Mumbai,Uk,West,110001,P7945,Tablet,Accessories,18.89301832,10,440.3027013,92774.50403,21-05-2023,28-01-2020,8,Pending,Rail,V177,Mr. Lee,Cargo,R955,8607.492526,1979.575093,Unknown,Central,Ms. Verma,Low,Online,Yes,Not Returned,Handle With Care,4403.027013,-1209 days,0.229982784,84167.0115,Yes,Normal,4,1
S868773,O75068,C4774,Not Provided,John@Example.Com,9.17E+11,Mumbai,Usa,East,110001,P6928,Headphones,Electronics,10.21837534,6,1412.111433,62335.44104,05-02-2023,21-11-2020,1,In Transit,Air,V914,Ms. Sharma,Bike,R399,8217.077304,1942.654483,Hub C,North Hub,Ms. Verma,Unknown,Cash,No,Not Returned,No Remarks,8472.668598,-806 days,0.236416722,54118.36374,Yes,Na,1,2
S694625,O82178,C5790,Jane Smith,,9.2E+11,Unknown,Uk,South,600001,P5124,Mobile,Food,70.95322149,11,2036.672621,198229.4405,05-04-2022,08-08-2022,13,In Transit,Rail,V985,Mrs. Patel,Van,R517,7464.945846,959.3305987,Warehouse A,Central,Mr. Patel,Low,Debit,Yes,Unknown,No Remarks,22403.39883,125 days,0.128511394,190764.4947,Yes,Normal,3,1
S367813,O73441,C6548,Michael Brown,,9.17E+11,Unknown,Uk,South,400001,P7499,Mobile,Clothing,98.69525019,14,2675.147143,136546.1269,05-12-2022,06-03-2023,3,Delayed,Air,V356,Unknown,Cargo,R761,3978.506822,1134.787063,Warehouse B,North Hub,Mr. Khan,High,Cash,Unknown,Pending,No Remarks,37452.06,91 days,0.285229387,132567.6201,Yes,Urgent,1,3
S649712,O16468,C1693,Amit Kumar,,9.17E+11,Chennai,Usa,Unknown,600001,P7607,Headphones,Food,51.66632662,7,3265.154337,177191.3348,21-11-2020,30-05-2021,1,Delayed,Road,V747,Ms. Sharma,Cargo,R274,1034.190411,333.7242436,Hub C,Unknown,Mr. Khan,Unknown,Unknown,Unknown,Unknown,No Remarks,22856.08036,190 days,0.322691296,176157.1444,Yes,Na,6,2
S525873,O99736,C2457,Fatima Noor,John@Example.Com,9.17E+11,Mumbai,Usa,East,0,P9007,Charger,Electronics,20.27221031,5,2700.135729,57232.80452,09-02-2025,15-04-2022,7,Delayed,Air,V429,Mr. Lee,Truck,R372,8641.039995,796.3351565,Hub C,South Hub,Mr. Patel,High,Upi,No,Not Returned,No Remarks,13500.67865,-1031 days,0.092157328,48591.76453,Yes,Urgent,5,3
S790810,O23156,C9174,Li Wei,Amit@Gmail.Com,9.18E+11,Unknown,Uk,North,400001,P7225,Laptop,Electronics,28.45298371,2,3628.704096,132639.4732,04-11-2022,27-02-2025,2,Unknown,Air,V938,Ms. Sharma,Cargo,R986,1209.503401,1314.811892,Unknown,South Hub,Ms. Verma,Low,Card,Unknown,Not Returned,Check Packaging,7257.408192,846 days,1.087067544,131429.9698,Yes,Normal,0,1
S504664,O28452,C5715,Li Wei,,9.17E+11,Mumbai,Usa,North,600001,P6544,Headphones,Unknown,3.029203111,7,1131.194487,33111.50561,08-05-2025,18-08-2020,5,Delayed,Rail,V372,Mr. Lee,Bike,R362,5468.341619,643.2002564,Warehouse A,Unknown,Mr. Khan,Unknown,Card,Yes,Not Returned,No Remarks,7918.361409,-1724 days,0.117622545,27643.16399,Yes,Na,0,2
S928145,O27773,C8289,Michael Brown,,9.17E+11,Bangalore,India,Unknown,400001,P8215,Tablet,Clothing,37.76674183,14,582.1182537,188993.6872,03-04-2021,27-09-2024,-1,Pending,Air,V214,Mr. Lee,Van,R713,5941.073293,1565.312684,Hub C,North Hub,Mr. Khan,Unknown,Unknown,No,Not Returned,Delayed Delivery,8149.655552,1273 days,0.263473047,183052.6139,No,Na,6,2
S603169,O80845,C3914,Jane Smith,John@Example.Com,9.17E+11,Chennai,Usa,South,0,P4048,Charger,Food,70.95322149,5,1931.036453,38876.6444,21-12-2024,30-12-2023,5,Pending,Rail,V174,Unknown,Van,R588,5242.289857,1165.597811,Warehouse A,North Hub,Mr. Patel,Unknown,Credit,No,Not Returned,Handle With Care,9655.182265,-357 days,0.222345166,33634.35454,Yes,Na,2,2
S948321,O45202,C7194,Jane Smith,,9.17E+11,Unknown,Usa,South,600001,P5340,Tablet,Accessories,12.02897142,9,838.5720371,192457.5095,14-11-2020,20-01-2023,1,Pending,Rail,V842,Ms. Sharma,Cargo,R835,8408.905679,1697.171017,Warehouse A,Unknown,Unknown,Medium,Credit,Unknown,Unknown,Check Packaging,7547.148334,797 days,0.201830188,184048.6038,Yes,Not Urgent,2,4
S589739,O25510,C7066,John Doe,,9.18E+11,Delhi,Uk,East,400001,P3528,Unknown,Accessories,20.27221031,1,2700.135729,94641.07852,03-01-2023,14-01-2022,10,Delayed,Road,V406,Mrs. Patel,Van,R255,1084.968401,1687.625965,Unknown,North Hub,Mr. Patel,Unknown,Credit,No,Pending,No Remarks,2700.135729,-354 days,1.555460936,93556.11012,Yes,Na,2,2
S504838,O41157,C7463,Amit Kumar,,9.17E+11,Delhi,India,Unknown,110001,P8330,Unknown,Unknown,45.68784561,8,4624.872973,62335.44104,01-11-2022,26-08-2021,8,Pending,Unknown,V575,Mr. Lee,Truck,R369,4457.789666,1678.080913,Warehouse A,Unknown,Ms. Verma,Low,Card,No,Unknown,Check Packaging,36998.98378,-432 days,0.376437885,57877.65137,Yes,Normal,0,1
S427585,O18378,C5868,John Doe,Amit@Gmail.Com,9.18E+11,Unknown,Usa,East,0,P7220,Unknown,Accessories,31.44274101,7,247.9313375,179436.9465,19-05-2020,31-03-2024,1,Unknown,Unknown,V484,Mr. Lee,Cargo,R798,5625.156091,1006.852013,Unknown,Unknown,Mr. Khan,Low,Online,Yes,Pending,Handle With Care,1735.519363,1412 days,0.178990947,173811.7904,Yes,Normal,4,1
S859274,O21211,C4349,Fatima Noor,John@Example.Com,9.16E+11,Bangalore,Uk,North,560001,P9306,Laptop,Furniture,96.97367046,10,2634.015917,34984.62944,06-06-2021,24-04-2021,4,Pending,Rail,V738,Unknown,Truck,R947,9505.592367,713.1551668,Warehouse B,South Hub,Mr. Khan,Medium,Card,Unknown,Returned,Delayed Delivery,26340.15917,-43 days,0.0750248,25479.03707,Yes,Not Urgent,0,4
S320920,O77492,C6693,Jane Smith,,9.19E+11,Bangalore,Usa,East,110001,P4609,Headphones,Accessories,32.85574054,18,2421.167471,87698.03529,07-03-2021,26-06-2022,11,Cancelled,Unknown,V788,Unknown,Truck,R483,6330.570851,174.4134766,Hub C,South Hub,Unknown,Unknown,Card,No,Not Returned,No Remarks,43581.01448,476 days,0.027550987,81367.46444,Yes,Na,0,2
S657924,O55819,C1863,Amit Kumar,Amit@Gmail.Com,9.2E+11,Unknown,Usa,North,600001,P9724,Mobile,Food,1.049450654,13,2860.801794,7967.942201,24-11-2021,25-08-2021,14,In Transit,Rail,V499,Unknown,Cargo,R471,5242.289857,1070.479319,Hub C,Unknown,Ms. Verma,Medium,Upi,Yes,Pending,Check Packaging,37190.42332,-91 days,0.204200712,2725.652344,Yes,Not Urgent,5,4
S235741,O72224,C3834,Amit Kumar,,9.2E+11,Bangalore,India,South,600001,P3664,Tablet,Clothing,80.31859959,16,4539.137139,154723.2036,02-09-2022,12-06-2022,0,Delayed,Ship,V239,Mrs. Patel,Bike,R720,5873.870748,772.2360719,Hub C,Unknown,Mr. Patel,Medium,Online,Unknown,Unknown,No Remarks,72626.19422,-82 days,0.131469708,148849.3329,No,Not Urgent,4,4
S954233,O19251,C1567,Not Provided,,9.19E+11,Mumbai,Uk,West,600001,P2986,Mobile,Clothing,52.71326495,13,405.8528003,14882.3431,07-11-2020,29-04-2021,1,Unknown,Rail,V912,Unknown,Van,R940,3598.151842,860.6044895,Hub C,Unknown,Ms. Verma,Medium,Online,No,Returned,No Remarks,5276.086404,173 days,0.239179592,11284.19126,Yes,Not Urgent,4,4
S105262,O57379,C2500,John Doe,John@Example.Com,9.17E+11,Mumbai,Usa,West,400001,P2971,Charger,Food,18.74874873,8,838.5720371,78649.6933,04-10-2025,08-07-2025,2,Unknown,Air,V848,Mrs. Patel,Van,R712,5513.375185,914.0718785,Warehouse A,North Hub,Mr. Khan,High,Upi,No,Returned,Delayed Delivery,6708.576297,-88 days,0.165791706,73136.31812,Yes,Urgent,5,3
S139350,O70334,C1464,Not Provided,John@Example.Com,9.2E+11,Delhi,Uk,West,0,P9401,Unknown,Food,9.305003954,11,2880.640669,121583.5087,24-01-2024,31-12-2021,11,Cancelled,Ship,V324,Mr. Lee,Cargo,R914,6590.437715,1384.774596,Warehouse B,South Hub,Mr. Patel,Unknown,Upi,Unknown,Not Returned,Delayed Delivery,31687.04736,-754 days,0.210118759,114993.071,Yes,Na,5,2
S234160,O60611,C5875,Jane Smith,,9.19E+11,Bangalore,Unknown,North,110001,P7038,Tablet,Accessories,47.48538505,4,4712.281498,141044.8847,03-02-2021,21-02-2021,5,Cancelled,Ship,V258,Mrs. Patel,Cargo,R913,2868.25948,1384.774596,Unknown,Unknown,Mr. Khan,Medium,Online,Unknown,Pending,Handle With Care,18849.12599,18 days,0.48279265,138176.6252,Yes,Not Urgent,4,4
S239922,O10903,C3921,Li Wei,,9.19E+11,Unknown,India,South,600001,P6085,Tablet,Accessories,17.46715031,7,2127.286521,52705.98888,17-03-2025,18-02-2023,11,Pending,Unknown,V110,Mrs. Patel,Van,R162,3219.920606,1314.811892,Unknown,North Hub,Mr. Patel,Unknown,Credit,No,Pending,No Remarks,14891.00565,-758 days,0.408336743,49486.06827,Yes,Na,2,2
S550821,O70733,C3901,Jane Smith,,9.16E+11,Delhi,India,Unknown,110001,P5473,Headphones,Food,3.029203111,17,524.0510367,141034.9164,23-02-2024,25-05-2023,11,In Transit,Air,V283,Unknown,Truck,R285,6233.498867,804.0189189,Unknown,North Hub,Mr. Khan,Medium,Debit,Yes,Unknown,Handle With Care,8908.867624,-274 days,0.128983567,134801.4175,Yes,Not Urgent,3,4
S851022,O63462,C4779,Not Provided,John@Example.Com,9.16E+11,Delhi,India,South,110001,P2407,Laptop,Clothing,16.02145477,13,1206.769041,194596.3122,14-03-2020,19-08-2020,1,Delivered,Road,V660,Mrs. Patel,Bike,R533,5943.195907,453.8148522,Unknown,North Hub,Ms. Verma,Low,Unknown,Yes,Returned,No Remarks,15687.99753,158 days,0.076358723,188653.1163,Yes,Normal,6,1
S615098,O18409,C7482,Michael Brown,,9.18E+11,Bangalore,Uk,South,600001,P6046,Unknown,Furniture,62.51816362,16,4376.729227,90097.7648,07-01-2025,25-04-2024,1,Delayed,Rail,V260,Ms. Sharma,Cargo,R916,5675.666106,1858.374053,Hub C,Central,Ms. Verma,High,Upi,Unknown,Pending,No Remarks,70027.66763,-257 days,0.327428361,84422.09869,Yes,Urgent,5,3
S610861,O95488,C8921,Li Wei,Amit@Gmail.Com,9.17E+11,Delhi,Uk,Unknown,400001,P2126,Charger,Accessories,29.56839253,9,676.4538978,49172.27302,19-05-2022,24-10-2025,11,Delivered,Ship,V625,Mrs. Patel,Cargo,R929,4839.54642,1954.873446,Warehouse A,North Hub,Unknown,High,Card,Yes,Returned,No Remarks,6088.08508,1254 days,0.403937327,44332.7266,Yes,Urgent,0,3
S746912,O80916,C3236,Michael Brown,,9.2E+11,Delhi,India,South,560001,P8022,Laptop,Unknown,7.917789046,8,2394.742039,10057.47873,04-03-2020,29-02-2024,11,In Transit,Ship,V283,Ms. Sharma,Truck,R624,1034.190411,1114.660511,Unknown,North Hub,Ms. Verma,Low,Debit,Unknown,Unknown,Handle With Care,19157.93631,1457 days,1.077809753,9023.288319,Yes,Normal,3,1
S578025,O91810,C3562,Li Wei,,9.18E+11,Bangalore,Uk,Unknown,110001,P4455,Headphones,Food,47.48538505,15,494.0543596,105894.7435,01-08-2023,15-05-2024,13,Cancelled,Rail,V682,Mr. Lee,Van,R663,3653.713055,1053.600666,Unknown,Central,Ms. Verma,Low,Credit,Unknown,Not Returned,No Remarks,7410.815394,288 days,0.288364371,102241.0304,Yes,Normal,2,1
S100301,O69559,C7838,Michael Brown,,9.2E+11,Bangalore,Uk,North,560001,P2245,Charger,Food,14.37963913,3,1274.356122,94641.07852,06-02-2022,06-04-2022,13,Pending,Unknown,V181,Mr. Lee,Van,R953,2556.841848,1856.787137,Hub C,Unknown,Mr. Patel,Low,Debit,Yes,Pending,No Remarks,3823.068366,59 days,0.726203358,92084.23667,Yes,Normal,3,1
S407586,O87373,C1004,Not Provided,Amit@Gmail.Com,9.18E+11,Mumbai,Unknown,South,400001,P1663,Headphones,Furniture,26.24860817,12,3437.707852,144272.0613,07-09-2022,17-04-2022,-1,Cancelled,Road,V508,Mr. Lee,Truck,R834,1034.190411,531.0631365,Unknown,South Hub,Unknown,Unknown,Unknown,No,Returned,Delayed Delivery,41252.49422,-143 days,0.51350615,143237.8709,No,Na,6,2
S124872,O14212,C6402,Not Provided,,9.17E+11,Bangalore,Unknown,South,400001,P3213,Charger,Clothing,94.91411096,1,4221.339974,72713.96428,06-09-2022,28-06-2025,-1,Pending,Rail,V683,Mrs. Patel,Bike,R800,5625.156091,182.9656144,Unknown,Unknown,Ms. Verma,Medium,Credit,Yes,Not Returned,No Remarks,4221.339974,1026 days,0.032526318,67088.80819,No,Not Urgent,2,4
S452507,O53497,C2484,Not Provided,,9.17E+11,Chennai,Usa,Unknown,600001,P5599,Headphones,Electronics,12.64280437,10,1400.472211,87698.03529,15-05-2023,18-06-2024,12,Cancelled,Unknown,V699,Ms. Sharma,Truck,R892,5242.289857,897.1221866,Warehouse A,Central,Mr. Khan,Low,Credit,Unknown,Pending,No Remarks,14004.72211,400 days,0.17113174,82455.74543,Yes,Normal,2,1
S539261,O29050,C6251,John Doe,John@Example.Com,9.2E+11,Delhi,Uk,East,0,P1197,Mobile,Electronics,14.52196038,16,3628.704096,172921.7965,12-08-2022,25-11-2024,13,Pending,Ship,V287,Mr. Lee,Van,R280,5468.341619,939.1455906,Hub C,Central,Ms. Verma,Unknown,Upi,Yes,Returned,Handle With Care,58059.26554,836 days,0.171742304,167453.4549,Yes,Na,5,2
S333551,O86127,C2953,Jane Smith,Amit@Gmail.Com,9.18E+11,Delhi,India,South,110001,P5239,Tablet,Clothing,52.71326495,12,547.4490582,57232.80452,15-04-2021,27-01-2022,1,In Transit,Road,V377,Mrs. Patel,Van,R970,6060.784907,1000.220882,Unknown,North Hub,Unknown,Medium,Online,Unknown,Pending,Check Packaging,6569.388698,287 days,0.165031576,51172.01961,Yes,Not Urgent,4,4
S831637,O18104,C2248,Not Provided,,9.2E+11,Bangalore,India,South,600001,P2990,Headphones,Food,29.47729945,15,2634.015917,31450.40809,09-04-2024,13-06-2022,9,Cancelled,Rail,V263,Mrs. Patel,Cargo,R421,1092.005095,826.8818712,Warehouse A,Central,Unknown,Medium,Cash,Yes,Returned,No Remarks,39510.23876,-666 days,0.757214298,30358.403,Yes,Not Urgent,1,4
S707958,O36753,C5888,Fatima Noor,Amit@Gmail.Com,9.19E+11,Mumbai,India,Unknown,0,P2694,Unknown,Food,77.2413995,19,582.1182537,12926.827,27-10-2023,31-01-2023,13,Delivered,Ship,V676,Mr. Rao,Cargo,R162,2868.25948,796.3351565,Unknown,South Hub,Mr. Patel,Low,Online,Unknown,Pending,Check Packaging,11060.24682,-269 days,0.277637069,10058.56752,Yes,Normal,4,1
S397557,O51953,C2306,Not Provided,John@Example.Com,9.19E+11,Mumbai,India,South,400001,P1512,Charger,Clothing,90.97738001,10,4662.325817,177191.3348,21-06-2023,29-01-2020,13,Cancelled,Unknown,V215,Unknown,Bike,R736,1108.012233,738.6984002,Unknown,South Hub,Mr. Khan,Medium,Upi,Yes,Not Returned,Check Packaging,46623.25817,-1239 days,0.666687946,176083.3226,Yes,Not Urgent,5,4
S376869,O33398,C6599,Li Wei,,9.19E+11,Bangalore,Uk,West,400001,P5730,Charger,Clothing,6.972633502,14,3703.99955,13794.51044,09-06-2024,26-04-2023,5,Pending,Air,V584,Mr. Lee,Bike,R926,9984.617643,1843.161592,Unknown,North Hub,Unknown,Medium,Credit,Unknown,Unknown,Delayed Delivery,51855.9937,-410 days,0.184600118,3809.892797,Yes,Not Urgent,2,4
S226251,O49466,C7423,Jane Smith,John@Example.Com,9.18E+11,Delhi,Uk,West,0,P2665,Headphones,Food,20.27221031,17,843.7059873,49172.27302,01-05-2024,20-01-2022,11,In Transit,Unknown,V579,Mr. Lee,Cargo,R353,6919.232083,1335.386338,Hub C,Central,Unknown,Unknown,Online,No,Returned,Check Packaging,14343.00178,-832 days,0.192996321,42253.04094,Yes,Na,4,2
S514671,O17582,C6889,Michael Brown,,9.18E+11,Mumbai,Uk,Unknown,0,P4398,Charger,Accessories,52.24676811,7,3887.725191,31450.40809,11-09-2022,17-04-2020,14,Delivered,Air,V988,Mr. Lee,Cargo,R189,8138.839,1314.811892,Warehouse A,South Hub,Ms. Verma,Medium,Cash,No,Unknown,No Remarks,27214.07634,-877 days,0.161547844,23311.56909,Yes,Not Urgent,1,4
S757869,O15410,C1034,John Doe,John@Example.Com,9.2E+11,Chennai,India,East,400001,P7458,Unknown,Electronics,97.00603029,13,4624.872973,47175.32971,28-07-2024,28-12-2023,1,In Transit,Rail,V576,Ms. Sharma,Van,R621,6203.769968,713.1551668,Warehouse B,Unknown,Unknown,Unknown,Cash,Unknown,Returned,Check Packaging,60123.34865,-213 days,0.114955127,40971.55974,Yes,Na,1,2
S149780,O34570,C6194,Jane Smith,,9.19E+11,Mumbai,Unknown,South,0,P8723,Unknown,Accessories,52.71326495,16,4624.872973,198229.4405,07-03-2023,16-09-2022,0,Delivered,Ship,V941,Mr. Lee,Truck,R361,7015.422873,1117.916775,Warehouse A,North Hub,Mr. Khan,Low,Card,Yes,Pending,Check Packaging,73997.96757,-172 days,0.159351303,191214.0176,No,Normal,0,1
S661921,O60389,C7451,Jane Smith,,9.16E+11,Delhi,Unknown,South,0,P6769,Tablet,Unknown,33.42435347,7,4712.281498,78649.6933,07-07-2022,15-06-2025,11,Pending,Road,V394,Ms. Sharma,Truck,R604,5719.099567,1384.774596,Unknown,South Hub,Mr. Khan,High,Cash,Yes,Returned,No Remarks,32985.97049,1074 days,0.242131577,72930.59373,Yes,Urgent,1,3
S961912,O36237,C8465,Amit Kumar,,9.17E+11,Bangalore,Usa,South,400001,P4441,Tablet,Furniture,18.74874873,10,494.0543596,136546.1269,09-04-2020,22-10-2020,11,Delayed,Unknown,V763,Mr. Rao,Van,R475,976.3534422,353.8337453,Warehouse B,North Hub,Ms. Verma,High,Debit,No,Not Returned,No Remarks,4940.543596,196 days,0.362403337,135569.7735,Yes,Urgent,3,3
S607228,O91778,C1525,Michael Brown,Amit@Gmail.Com,9.19E+11,Unknown,Unknown,Unknown,110001,P5236,Laptop,Electronics,70.83230571,7,4323.352398,103270.9587,24-07-2023,29-08-2020,-1,Delayed,Air,V295,Ms. Sharma,Cargo,R734,9534.073323,1463.66029,Warehouse A,South Hub,Ms. Verma,Low,Upi,Yes,Returned,Handle With Care,30263.46679,-1059 days,0.153518883,93736.88538,No,Normal,5,1
S596999,O70421,C7867,Amit Kumar,Amit@Gmail.Com,9.19E+11,Unknown,Uk,North,110001,P5671,Mobile,Food,28.45298371,6,582.1182537,113440.8677,18-07-2020,24-02-2021,4,Unknown,Unknown,V799,Mrs. Patel,Van,R145,3598.151842,1035.52612,Warehouse A,Central,Ms. Verma,Medium,Online,Yes,Not Returned,Delayed Delivery,3492.709522,221 days,0.287793891,109842.7159,Yes,Not Urgent,4,4
S720828,O75985,C8149,Michael Brown,,9.17E+11,Delhi,Unknown,South,600001,P9083,Unknown,Furniture,17.46715031,13,4232.453208,121613.615,16-11-2024,18-10-2023,1,Delayed,Unknown,V733,Ms. Sharma,Cargo,R515,6919.232083,1003.303052,Hub C,South Hub,Unknown,Medium,Unknown,Yes,Not Returned,Check Packaging,55021.8917,-395 days,0.145002081,114694.3829,Yes,Not Urgent,6,4
S778122,O59563,C5944,Michael Brown,,9.19E+11,Bangalore,India,South,560001,P8536,Mobile,Electronics,16.02385472,4,3545.305279,121613.615,19-04-2021,22-10-2022,11,Delayed,Unknown,V718,Mr. Lee,Truck,R854,5675.666106,1779.59497,Hub C,Central,Mr. Patel,Medium,Credit,No,Returned,Handle With Care,14181.22112,551 days,0.313548214,115937.9489,Yes,Not Urgent,2,4
S767749,O97439,C4005,Jane Smith,John@Example.Com,9.19E+11,Delhi,India,South,0,P9444,Mobile,Clothing,83.32804276,1,3265.154337,183930.7372,01-02-2021,17-03-2020,13,Cancelled,Air,V885,Mrs. Patel,Van,R926,4600.327884,1697.171017,Warehouse A,North Hub,Mr. Patel,Unknown,Credit,No,Pending,Delayed Delivery,3265.154337,-321 days,0.368923925,179330.4093,Yes,Na,2,2
S503222,O82236,C7930,Fatima Noor,Amit@Gmail.Com,9.18E+11,Delhi,Uk,North,560001,P7283,Mobile,Furniture,18.59158424,9,1937.487668,147017.1363,04-07-2024,17-01-2022,5,In Transit,Ship,V726,Mr. Lee,Van,R507,9138.029149,1142.281819,Warehouse B,Central,Unknown,High,Debit,No,Unknown,Check Packaging,17437.38901,-899 days,0.125003083,137879.1072,Yes,Urgent,3,3
S737719,O15605,C4602,Amit Kumar,John@Example.Com,9.19E+11,Mumbai,Uk,Unknown,0,P1572,Laptop,Food,66.42096729,7,2551.014182,198229.4405,19-08-2024,28-06-2025,7,Cancelled,Ship,V590,Mrs. Patel,Bike,R247,8170.959501,713.1551668,Warehouse B,Central,Mr. Khan,High,Unknown,No,Not Returned,Delayed Delivery,17857.09927,313 days,0.087279244,190058.481,Yes,Urgent,6,3
S362318,O33132,C4929,Jane Smith,John@Example.Com,9.19E+11,Unknown,Usa,East,600001,P5048,Charger,Furniture,81.63841213,8,1937.487668,155284.4995,12-04-2025,19-09-2021,1,Delayed,Unknown,V444,Ms. Sharma,Van,R765,8408.905679,151.0244466,Hub C,Unknown,Mr. Patel,Unknown,Credit,Yes,Pending,No Remarks,15499.90134,-1301 days,0.01796006,146875.5938,Yes,Na,2,2
S835189,O78257,C8147,Michael Brown,,9.18E+11,Mumbai,Uk,North,560001,P9569,Unknown,Accessories,37.76674183,8,2899.960714,57232.80452,07-10-2025,17-09-2024,0,Delivered,Road,V538,Mrs. Patel,Cargo,R690,3598.151842,1114.660511,Warehouse B,Unknown,Mr. Khan,Unknown,Debit,Yes,Unknown,Handle With Care,23199.68571,-385 days,0.309786957,53634.65268,No,Na,3,2
S496161,O59756,C6367,Jane Smith,John@Example.Com,9.17E+11,Mumbai,India,Unknown,600001,P9114,Unknown,Food,32.85574054,12,4318.381124,34984.62944,24-09-2020,29-05-2020,13,Delayed,Road,V857,Ms. Sharma,Cargo,R914,3598.151842,1979.575093,Warehouse A,South Hub,Mr. Patel,High,Debit,Unknown,Pending,No Remarks,51820.57349,-118 days,0.550164412,31386.4776,Yes,Urgent,3,3
S656063,O33574,C4258,Jane Smith,John@Example.Com,9.19E+11,Delhi,Uk,East,400001,P1487,Unknown,Accessories,12.39962747,3,4140.753898,193935.3856,05-02-2025,24-09-2021,10,Delivered,Ship,V567,Mr. Rao,Van,R541,7133.883833,772.2360719,Unknown,South Hub,Ms. Verma,Low,Online,No,Not Returned,Check Packaging,12422.26169,-1230 days,0.108249039,186801.5018,Yes,Normal,4,1
S832344,O99545,C2668,Jane Smith,Amit@Gmail.Com,9.17E+11,Bangalore,Unknown,East,110001,P6139,Charger,Furniture,60.06651918,10,3545.305279,13794.51044,14-04-2020,22-01-2020,11,Delayed,Rail,V250,Unknown,Bike,R957,5719.099567,1886.76569,Warehouse B,South Hub,Ms. Verma,Low,Unknown,Unknown,Not Returned,No Remarks,35453.05279,-83 days,0.329906075,8075.410873,Yes,Normal,6,1
S538441,O89172,C9809,Not Provided,John@Example.Com,9.19E+11,Mumbai,India,West,0,P4078,Laptop,Electronics,71.46785633,17,4232.453208,141034.9164,11-04-2022,11-04-2025,12,Delayed,Road,V428,Ms. Sharma,Cargo,R918,976.3534422,1142.281819,Warehouse A,South Hub,Mr. Patel,Unknown,Online,Unknown,Returned,Delayed Delivery,71951.70454,1096 days,1.169947039,140058.563,Yes,Na,4,2
S644506,O39855,C9534,Li Wei,John@Example.Com,9.17E+11,Mumbai,India,North,0,P3185,Unknown,Clothing,77.33835455,9,1274.356122,45101.87522,01-02-2020,08-11-2024,10,Delivered,Ship,V824,Mrs. Patel,Van,R591,5873.870748,685.8229713,Warehouse A,Unknown,Unknown,Unknown,Credit,Yes,Unknown,No Remarks,11469.2051,1742 days,0.116758267,39228.00447,Yes,Na,2,2
S659008,O96210,C7538,Amit Kumar,,9.17E+11,Chennai,Uk,West,600001,P9052,Laptop,Accessories,80.31859959,16,582.1182537,78221.03064,05-06-2024,20-10-2023,11,Delivered,Air,V464,Unknown,Cargo,R933,4344.411364,709.655395,Warehouse B,South Hub,Ms. Verma,Low,Upi,No,Unknown,No Remarks,9313.892059,-229 days,0.163349033,73876.61928,Yes,Normal,5,1
